年別,火災發生次數[次],每日火災發生次數[次],每千戶火災發生次數[次],原因/燈燭,原因/爐火烹調,原因/敬神掃墓祭祖,原因/電氣因素,原因/菸蒂,原因/機械設備,原因/自殺,原因/縱火,原因/玩火,原因/烤火,原因/施工不慎,原因/易燃品自[復]燃,原因/瓦斯漏氣爆炸,原因/化學物品,原因/燃放爆竹,原因/交通事故,原因/天然災害,原因/遺留火種,原因/因燃燒雜草垃圾,原因/原因不明,原因/其他,時間/0:00~3:00,時間/3:00~6:00,時間/6:00~9:00,時間/9:00~12:00,時間/12:00~15:00,時間/15:00~18:00,時間/18:00~21:00,時間/21:00~24:00,處所/客廳,處所/臥室,處所/廚房,處所/辦公室,處所/倉庫,處所/路邊,處所/其他,死亡人數/總計,死亡人數/男,死亡人數/女,受傷人數/總計,受傷人數/男,受傷人數/女,被毀損房屋數[戶],被毀損車輛數[輛],財物損失/總計[千元],財物損失/房屋[千元],財物損失/其他[千元]
57年,926,2.53,2.7,25,53,-,93,38,45,-,13,28,-,-,-,-,-,-,-,-,-,-,165,466,68,26,54,149,165,170,168,126,-,-,-,-,-,-,-,22,12,10,89,74,15,298,-,49598,-,-
58年,752,2.06,2.11,23,46,-,141,19,8,-,4,33,2,-,-,-,-,-,-,-,-,-,139,337,53,29,36,121,152,132,149,80,-,-,-,-,-,-,-,2,2,-,44,28,16,261,-,18114,-,-
59年,717,1.96,1.94,-,38,-,171,19,18,-,-,24,-,-,-,-,-,-,-,-,-,-,110,337,47,21,47,91,130,133,157,91,-,-,-,-,-,-,-,9,7,2,57,45,12,171,-,18283,-,-
60年,851,2.33,2.21,1,79,1,163,51,22,-,1,34,5,-,-,-,-,-,-,-,-,-,126,368,60,37,60,124,138,183,161,88,-,-,-,-,-,-,-,25,14,11,46,31,15,256,-,51739,-,-
61年,898,2.45,2.23,15,179,10,182,64,42,-,1,44,12,-,-,-,-,-,-,-,-,-,190,159,70,41,54,136,185,180,147,85,-,-,-,-,-,-,-,16,11,5,51,42,9,210,-,80046,-,-
62年,795,2.18,1.9,28,163,6,195,50,56,-,9,52,2,-,-,-,-,-,-,-,-,-,147,87,46,46,52,141,140,154,119,97,-,-,-,-,-,-,-,19,11,8,96,70,26,227,-,210460,-,-
63年,817,2.24,1.88,2,88,4,178,44,28,-,3,85,1,-,-,-,-,-,-,-,-,-,236,148,37,34,46,141,176,163,124,96,-,-,-,-,-,-,-,4,3,1,47,33,14,223,-,32560,-,-
64年,1085,2.97,2.4,74,111,20,331,58,20,-,10,56,5,-,-,-,-,-,-,-,-,-,203,197,67,50,73,167,214,207,190,117,-,-,-,-,-,-,-,21,13,8,87,70,17,491,-,37782,-,-
65年,1342,3.67,2.83,45,99,11,354,121,32,-,8,56,1,-,-,-,-,-,-,-,-,-,338,277,79,59,116,238,247,277,191,135,-,-,-,-,-,-,-,3,1,2,58,50,8,274,-,15431,-,-
66年,1884,5.16,3.81,24,106,54,609,111,111,-,11,68,2,-,-,-,-,-,-,-,-,-,437,351,105,83,113,334,375,365,309,200,-,-,-,-,-,-,-,15,11,4,71,57,14,247,-,30002,-,-
67年,1420,3.89,2.77,-,479,15,302,79,176,-,12,45,6,-,-,-,-,-,-,-,-,-,202,104,104,54,97,250,269,269,227,150,-,-,-,-,-,-,-,28,15,13,72,66,6,267,-,21953,-,-
68年,1196,3.28,2.25,-,366,13,263,98,188,-,23,45,7,-,-,-,-,-,-,-,-,-,124,69,81,58,98,237,199,216,190,117,-,-,-,-,-,-,-,40,24,16,132,96,36,449,-,38826,-,-
69年,859,2.35,1.56,7,119,15,189,156,68,-,91,47,4,-,-,-,-,-,-,-,-,-,12,151,89,56,76,142,143,162,116,75,-,-,-,-,-,-,-,27,15,12,89,65,24,185,-,36413,-,-
70年,585,1.6,1.02,8,62,8,170,85,54,-,37,45,2,-,-,-,-,-,-,-,-,-,4,110,61,40,57,95,102,88,83,59,-,-,-,-,-,-,-,35,21,14,105,72,33,153,-,35142,-,-
71年,463,1.27,0.78,5,37,4,165,77,61,-,30,39,-,-,-,-,-,-,-,-,-,-,12,33,61,24,58,66,67,59,73,55,-,-,-,-,-,-,-,14,10,4,51,42,9,202,-,9753,-,-
72年,504,1.38,0.81,9,38,1,189,76,75,-,41,30,-,-,-,-,-,-,-,-,-,-,9,36,72,56,53,74,77,66,45,61,-,-,-,-,-,-,-,39,16,23,135,77,58,375,-,15818,-,-
73年,501,1.37,0.79,3,42,1,161,65,87,-,29,27,-,-,-,-,-,-,-,-,-,-,42,44,82,45,41,87,63,77,67,39,-,-,-,-,-,-,-,48,30,18,134,99,35,232,-,62274,-,-
74年,665,1.82,1.01,7,79,4,205,42,64,-,56,25,-,-,-,-,-,-,-,-,-,-,105,78,82,79,48,97,81,108,90,80,-,-,-,-,-,-,-,18,11,7,100,69,31,231,-,63372,-,-
75年,680,1.86,0.99,5,44,8,236,91,108,-,42,35,2,-,-,-,-,-,-,-,-,-,72,37,91,84,53,101,90,106,84,71,-,-,-,-,-,-,-,19,11,8,61,50,11,250,-,48828,-,-
76年,1063,2.91,1.48,12,68,12,234,77,134,-,91,56,5,-,-,-,-,-,-,-,-,-,102,272,151,117,64,133,146,150,176,126,-,-,-,-,-,-,-,17,6,11,140,89,51,118,-,73064,-,-
77年,1262,3.45,1.67,14,78,9,176,125,105,-,87,35,1,-,-,-,-,-,-,-,-,-,146,486,163,179,85,144,178,221,151,141,-,-,-,-,-,-,-,42,26,16,174,134,40,198,-,73902,-,-
78年,1123,3.08,1.44,13,66,12,151,125,169,-,120,46,1,-,-,-,-,-,-,-,-,-,169,251,180,197,74,128,138,156,128,122,-,-,-,-,-,-,-,40,25,15,150,115,35,157,-,97278,-,-
79年,1179,3.23,1.48,8,58,11,174,171,130,-,106,28,-,-,-,-,-,-,-,-,-,-,159,334,201,196,99,118,152,160,125,128,-,-,-,-,-,-,-,45,20,25,134,85,49,63,-,56571,-,-
